english_sentence,korean_sentence
"privacy, private life","사생활"
"life (entirety)(refers to the entirety of life/has a more serious nuance so in some situations it would be awkward)","인생"
"lifetime, one's entire life until you die","평생"
"everyday life","일상생활"
"everyday, daily life (shorter)","일상"
"life (power that allows you to breath and other actions that keep you alive)","목숨"
"life (state of being alive and the force that allows you to live); life (period of time something was maintained); life (core of something)","생명"
"to live, be alive; lead a life; live (in/at/near)","살다"
"to continue living (implies existence of some type of hardship), lead a life, get along, keep living","살아가다"
"lecture, class (college)","강의"
"lecture room, classroom (college)","강의실"
"lecture meeting (less common)","강연회"
"classroom (not college)","교실"
"class, lesson, course (up to highschool)","수업"
"half; group, class","반"
"subject, course","과목"
"school subject, course (less common)","교과목"
"foundation, basis, base, basics, be based on, groundwork (can be physical in context)","기초"
"basis, foundation, basics, fundamentals; prerequisite, essential (slightly abstract)","기본"
"basic, fundamental","기본적"
"basic form (talking about the basic form of something)","기본형"
"foundation (of), basis (of/for); background; nature, innate quality","바탕"
"standard, criterion, average, norm","표준"
"standard, criteria, basis","기준"
"level, standard, norm, average","수준"
"memory","기억"
"memory (recollection of past event)","추억"
"to remember, recollect (passively remembering)","기억나다"
"to remember","기억하다"
"to come to mind, think of, remember, be reminded of, dawn upon, occur","생각나다"
"to come across one's mind; rise up, come up, emerge (written)","떠오르다"
"to be hard, difficult","어렵다"
"difficulty, trouble, problem, hardship","어려움"
"to be difficult, tough; embarrassing, awkward (because of the situation one is in)","곤란하다"
"to be rugged, rough; threatening; tough, difficult","험하다"
"to be difficult, tiring, painful","힘들다"
"to be exhausted, worn out, fed up with, tired (body/mind)","지치다"
"to be tired (only body)","피곤하다"
"to be sleepy, drowsy; tightened, throttled","졸리다"
"hope, wish, desire, be hopeful (interchangeable with 바라다 but used for slightly bigger/dire situations)","희망"
"to desire, wish, hope, want, look forward to; look (at), see","바라다"
"to want, would like to, wish, hope; (formal) desire, long for","원하다"
"wish (something specific), desire","소원"
"to ask, beg (for forgiveness); wish, pray; apologize","빌다"
"to beg, plead (pathetically), implore (sino/less common)","애원하다"
"to be missed, be beloved; miss, long for","그립다"
"longing, yearning","그리움"
"wind; dream, desire","바람"
"to dream (of/about), wish, hope","꿈꾸다"
"to lend, borrow, scrounge; dream, have a dream","꾸다"
"to borrow","빌리다"
"to lend, loan","빌려주다"
"illusion, fantasy","환상"
"to imagine, picture","상상하다"
"electricity supply, socket; countryside, rural areas; all members, everyone","전원"
"to be beautiful (slightly more formal than 예쁘다/can be used in reference to beautiful things that are far away)","아름답다"
"to be pretty, lovely, fair (inner/natural beatury that can include character)","곱다"
"to be cute","귀엽다"
"denial, negation; corruption, dishonesty; unfaithfulness; paternal love","부정"
"no, be not, disagree; your welcome (present)","아니다"
"to pull (it out), take out, carry out; begin to speak, start talking","꺼내다"
"to put out, take out, release, bring out; present, submit, propose, give out","내놓다"
"to take out, take away, remove","내가다"
"to submit, hand in, present","제출하다"
"to receive, accept, get, take","받다"
"to accept, embrace, adopt, absorb, receive; comply (with), consent (to)","받아들이다"
"reception (formal), act of receiving","접수"
"to obtain, acquire, get, gain","얻다"
"acquisition, procure, obtain; entry into water","입수"
"to acquire, obtain, purchase (license, certificate, credit, degree, etc)","취득하다"
"to secure, procure, ensure, assure, retain (ensure possession)","확보하다"
"but, however, and (can be used when the first sentence is simply background info for the second or moving onto a new topic)","그런데"
"but, however (used only when there is a contrast between two statements.)","그렇지만"
"but, however, though (must be contrasting. in the case of 하지만 you are acknolweding the truth of the first statement)","하지만"
"nevertheless, still, however","그래도"
"but, though, however, nevertheless (stronger contrast than 하지만/그렇지만, the first statement and that it is false)","그러나"
"however (much), no matter how, whatever","아무리"
"specification; rejection, declining","사양"
"option, choice","선택권"
"to choose, select (when there are limited options)","선택하다"
"to choose, pick (broad)(do something with the thing you picked)","고르다"
"to decide, determine, choose; define, set","정하다"
"to decide, make up your mind (there is some debate/consideration between choices)","결정하다"
"set-up (decide on something), set (something); settings (options)","설정"
"to determine, finalize, decide, confirm, settle, fix","확정하다"
"determination, resolution, decision","결심"
"to be set (time/date for something), arranged, determined; prescribed (by)","정해지다"
"to measure, gauge, weigh, judge, take into consideration; brag about; season, marinate","재다"
"to judge, decide, make a judgment, evaluate","판단하다"
"to screen, evaluate, judge (against a set of standards)","심사하다"
"to criticize, pass judgment (using facts and logic e.g. constructive criticism)","비판하다"
"to criticize, attack, blame, condemn, denounce (speak critically about a mistake or flaw)","비난하다"
"anyway, in any case, anyhow (same as 어쨌든/하여튼)","아무튼"
"anyway, in any case, either way, anyhow (same as 아무튼/하여튼)","어쨌든"
"anyway (less common), anyhow, in any case (same as 아무튼/어쨌든)","하여튼"
"(adv) anyway, by the looks of (it), probably (sentences where you think something); by any means, regardless, anyhow","아무래도"
"anyway, anyhow, in any case (eventually)","어차피"
"signature, autograph; sign, signal, motion; cause of death","사인"
"signature, autograph; book title","서명"
"since, after that, since then, (from a point in the past till now) (you are affected/not common in spoken)","이래"
"(adv) in that way; that direction, over there; away, get away;low interest (rate)","저리"
"so, very, that so much; there, that way","그리"
"there, that, that way; you, their, they, his, her, he, she; (lit) that side","그쪽"
"as though, as if, just like","마치"
"nan","같은"
"kind, type, sort, category","종류"
"entry, access (to), going in and out; coming and going","출입"
"access, connection","접속"
"tie, connection (between people), relationship; destiny","인연"
"to connect, link, attach","연결하다"
"to connect, link; continue, follow, inherit","잇다"
"to be connected; be continued, extend (passive of 잇다)","이어지다"
"continuing, following, succession, soon after","이어서"
"next, the following","다음"
"to continue, keep (on), go on (doing something)","계속하다"
"continue, continuously, consecutively; continuation, resume (doing after interruption)","계속"
"series, streak, in a row, continuation, succession, continuous, follow one after another (state of doing without disconnecting)","연속"
"steadily, consistently, constantly, persistent","꾸준히"
"to be fixed, constant, regular, uniform","일정하다"
"a long time","오래"
"after a long time","오랜만에"
"first time in a while","오래간만"
"(adv) for a very long time","오랫동안"
"(noun) for some time, long time","한참"
"long term, a long time","장기간"
"(long period of) time, flowing time","세월"
"time/hour","시간"
"schedule (general, eng)","스케줄"
"schedule (hourly)","시간표"
"schedule (day/week/month), be scheduled (for), expected (to do), be due; plan","예정"
"schedule (predetermined); fixed, set, certain; constant, steady, consistent, regular","일정"
"daily schedule (timetable of activities)","일과표"
"every kind, various kinds, all kinds","각종"
"width, range, scope; piece; deeply, completely","폭"
"to wear, put on, throw (something) on; exend (from one thing to another), stretch; drink","걸치다"
"habit (smaller), habitual practice","습관"
"habit (bigger), custom, convention","관습"
" (Neg. conn.) habit; manners","버릇"
"tradition, custom, heritage","전통"
"traditional, conventional","전통적"
"custom, manners","풍습"
"culture","문화"
"(good) manners, courtesy (general good/polite etiquette)","예의"
"manners, etiquette (in regards to a specific situation, where you follow procedure)","예절"
"bad manners, rudeness; example, instance","실례"
"to exist, be present","존재하다"
"있어요","있다"
"kitchen (sino)","주방"
"kitchen","부엌"
"bakery (older sounding)","제과점"
"bakery","빵집"
"gate, front gate","대문"
"front door, entrance","현관"
"the front gate, main entrance (big)","정문"
"entrance (of/to) (refers to the adjacent parts of the entrance), mouth of a river (where it meets the sea)","어귀"
"(determiner) each, every; (noun) angle, edge, corner","각"
"each, every (things, goods)","각각"
"each, each one, individually (people)","각자"
"each other, mutually, one another","서로"
"to approach, come close, access (formal)","접근하다"
"to approach, go near, get close; make familiar","다가가다"
"to approach, draw near (difficulties/tough times) ; shut up, keep one's mouth shut","닥치다"
"to chase, pursue","쫓다"
"to be chased, pursued; be pressed, driven (with work); be agitated, nervous","쫓기다"
"to follow, go after, catch up (with); catch up (with) equal","따라가다"
"to follow (somebody around), chase; linger, not disappear","따라다니다"
"to imitate, repeat (after), copy, follow","따라하다"
"to repeat","반복하다"
"to repeat, say (many times over), always say, keep telling yourself that","되뇌다"
"inheritance, legacy, heritage; abortion, miscarriage","유산"
"to inherit","상속하다"
"property, fortune, wealth, asset","재산"
"cultural assets, cultural properties","문화재"
"money and valuables","금품"
"somehow (barely managing to do something), passably (not satisfactory but to some degree); before one realizes it","그럭저럭"
"somehow, for some reason","왠지"
"somehow, accidentally, by chance; sometimes, occasionally; do, be a certain (short for 어쩌다가)","어쩌다"
"accidentally, by chance; sometimes, once and a while; What should I do?","어쩌지"
"by chance, accidentally; once in a while, occasionally, sometimes","어쩌다가"
"for what reason, why (did you do something); what were your intentions doing that","어쩌자고"
"by chance, accidentally, coincidentally","우연히"
"coincidence, chance, fluke, accident","우연"
"maybe, might, perhaps, possibly (speaker is not sure about something); how, what; why","어쩌면"
"probably, maybe, likely, possibly","아마"
"by any chance, if; I wonder; perhaps; maybe; accidentally (by chance)","혹시"
"for a little while, for a moment; briefly","잠깐"
"a short while (Sino)","잠시"
"native, origin; ancestry; former title, previous position","출신"
"Location (at, in, from)","에서"
"to be fired, cut, kicked out, flunked out","잘리다"
"to cut, slash, saw, decapitate; rest one's head on","베다"
"to cut (up into small pieces but bigger and neater than 다지다), chop, slice, dice","썰다"
"to chop up (into very small pieces), mince; to harden, strengthen; harden (by hitting/patting down on something loose)","다지다"
"letter of resignation (same as 사표)","사직서"
"letter of resignation (same as 사직서); model (someone worthy of emulating)","사표"
"to close one's eyes; wind, roll, coil, fast-foward/rewind, advance; wash; wash, bathe","감다"
"What","뭐"
"what, which, something","무엇"
"what, what kind of, what sort of","무슨"
"what kind of characteristics...","어떤"
"which (of these)","어느"
"what matter, what cause, what reason, what is it","웬일"
"characteristic, nature, property, quality, attribute","특성"
"wall; characteristic","벽"
"characteristics, (distinct) feature","특징"
"to come into existence, occur, emerge","생겨나다"
"to occur, arise, happen, take place, take effect, generate (closer to 나다 but bigger events)","발생하다"
"to create (something new and original/from nothing)","창조하다"
"to produce, make, manufacture (product, resource, etc)","생산하다"
"production, making, produce, manufacture (artistic context movies, art, etc) or (when very few of something are produced)","제작"
"to be built, be established","세워지다"
"to build, construct (construction); establish, found","건설하다"
"fatness, obesity","비만"
"to be fat, overweight, swollen (negative nuance)","뚱뚱하다"
"to be plump, chubby, puffy, a little fat (positive nuance)","통통하다"
"courage (the spirit of bravery), nerve, guts, spunk; container","용기"
"boldly, daringly, have the guts to do something (even though your scared/seems neg context like ""how dare you""); impudently (speaking presumptiously)","감히"
"to be brave, daring, courageous","용감하다"
"to be brave, vigorous, courageous; lively, energetic, (someone who is spirited in the face of some (optional) hardship)","씩씩하다"
"to be lively, outgoing, animated; active, busy","활발하다"
"tightly, firmly, strongly; fully, compactly; closely","꽉"
"to chat","수다떨다"
"chatter (noun)","수다"
"to speak","말하다"
"to explain, give information to someone that they didn't previously know","설명하다"
"to explain (oneself), clarify (clearing up a misunderstanding)","해명하다"
"to inform, let know, make someone know something, notify, tell, publicize; introduce","알리다"
"to convey, communicate, tell, deliver, report; teach, introduce; hand down, remain, pass on","전하다"
"to (please) tell","전해주다"
"to report, delcare, notify","신고하다"
"to report, inform (information)","보고하다"
"to announce, notify (inform many people of certain information)","공지하다"
"to make public; open to the public","공개하다"
"to deliver (or have something delivered), convey, send, forward","전달하다"
"delivery (small scale deliveries, food etc)","배달"
"shipping, delivery (larger scale deliveries, packages etc)","배송"
"to pass, hand over, deliver; speak to","건네다"
"?","말씀하시다"
"talk, speak, tell; conversation","얘기"
"talk, speak, tell; conversation","이야기"
"to tell, say, speak; have a talk; talk of","이야기하다"
"to tell, say, speak; have a talk","얘기하다"
"to discuss (with), consult, talk (over)","의논하다"
"discussion, debate","토론"
"to bargain, haggle over terms, negotiate","흥정하다"
"conversation, talk (with), dialogue, talk (about)","대화"
"conversation (formal), speaking, foreign language conversation; painting","회화"
"regards, news (an exchange of greetings/give my regards to x)","안부"
"greetings","인사"
"actor, actress (as a profession)","연기자"
"actor, actress","배우"
"thing, object, article; product","물건"
"(plural/written) objects, things, matters","사물"
"product, manufactured goods","제품"
"prize; product, goods, good product","상품"
"item name, list of goods","품목"
"luxury goods","사치품"
"new product","신제품"
"composition, configuration, formation; form, comprise, make up (formal)","구성"
"composition (of music)","작곡"
"outside, out, exterior (can be abstract)","밖"
"outside, the open, exterior (can be descriptive)","바깥"
"the outside, the exterior (more common as a standalone noun rather than being associated directly with a verb)","외부"
"outdoors, outside the room or house","실외"
"the outside, exterior (of something), surface","겉"
"to hate, to not like it","싫어하다"
"to hate, loathe, dislike","미워하다"
"unsightliness, ugly, disgusting (behavior/appearance)","꼴불견"
"to detest, hate, be disgusted (by), turned off (by), sick of","질색하다"
"to get tired of, sick of","질리다"
"to be tedious, boring, dull, sick of","지겹다"
"to be boring","지루하다"
"to be bored","심심하다"
"to be uninteresting, underwhelming, dull, boring; trivial, insignificant, negligible; petty, narrow-minded (everyday word but might not hear educated people use it)","시시하다"
"please (formal/hope that someone does something); by all means","부디"
"please (less formal/eagerly, sincerely want someone to do something); for goodness sake, by all means","제발"
"dance","춤"
"to dance (a dance)","춤을 추다"
"to dance","추다"
"dance (formal); uselessness; military arts","무용"
"just (about to), just now, just; severely, violently; carelessly, recklessly; curtain, tent; film (of), membrane","막"
"to be careless, rash, hasty (speaking/behavior) (formal and would be used for apologizing/accusing)","경솔하다"
"to be rash, reckless (without thinking of the effects)","무모하다"
"carelessness, negligence, inattentive","부주의"
"thoughtlessly, carelessly, rashly, without permission","함부로"
"coincidently, just, just in time, opportunely","마침"
"suddenly; exactly, precisely, perfectly; just; strongly, decisevly; broad (usually referring to something of the body being wide)","딱"
"just; without any special reason","그냥"
"just, only; no special reason (same as 그냥 but more formal/written)","그저"
"simply, merely, just; apartment complex; jar","단지"
"only, merely, just, simply (less common)","다만"
"to be the only one, sole","유일하다"
"only, solely, exclusively, just","오직"
"go straight (to), going direct; nonstop, express","직행"
"straight, upright, directly; honestly, truthfully, frankly; correctly, rightly","똑바로"
"early, soon","일찍"
"rapidly (a number is growing very quickly)","급속히"
"already","벌써"
"already","이미"
"before I knew it, in no time, already, quickly, so soon","어느새"
"still, as ever, just as it was before","여전히"
"still; yet, not yet","아직"
"day","일"
"day, date; edge","날"
"(one) day, 24 hours","하루"
"day, daytime","낮"
"during the daytime, for week(s)(period), weekly, editor in chief","주간"
"after noon","오후"
"noon (12pm), midday","정오"
"the middle of the day, broad day light","대낮"
"lunch, midday meal","점심"
"date (in a calendar)","날짜"
"day of the week","요일"
"year; sun, sunlight, daytime; harm, damage; value","해"
"year","년"
"last year","작년"
"last year","지난 해"
"to be sunny, beautiful day (clear weather warm and gentle wind)","화창하다"
"sun; hope","태양"
"light, ray, glow; color, tinge, complextion","빛"
"sunlight, sunshine, sunbeam, heat of the sun (less common)","햇살"
"sunlight, sunshine, sun; see the light","햇빛"
"sunbeam, sunlight (in the context of getting sun and its effects)","햇볕"
"spark, flame","불꽃"
"fire (the kind that you call firefighters for)","화재"
"fire; light","불"
"to clean","청소하다"
"washing (clothes), laundry","세탁"
"to do laundry","빨래하다"
"to wash clothes (laundry); suck (at/on)","빨다"
"to be impossible","불가능하다"
"possibility, likelihood, probability, chance; potential","가능성"
"can","(으)ㄹ 수 있다"
"to be possible, feasible, able","가능하다"
"to exchange, trade, swap","교환하다"
"to exchange money, exchange something for something","환전하다"
"exchange (culture, information, ideas), interchange, mixture of currents, alternating current","교류"
"to reform, be reborn, turn over a new leaf","거듭나다"
"to change vehicles, transfer; change to a different brand, team, phone","갈아타다"
"to transfer (to another mode of transportation); change","환승하다"
"exchange student","교환학생"
"to exchange money, exchange something for something","환전하다"
"consideration (for), regard, care, thoughtfulness","배려"
"to be kind, considerate, friendly (behavior)","친절하다"
"to be kind, nice (personality)","착하다"
"to be attentive, considerate, thoughtful (doing what you can for others)","자상하다"
"to treat affectionately (treat someone who is cute as such)","귀여워하다"
"to be friendly, sweet, (more personal situations) affectionate, intimate","다정하다"
"on good terms, friendly, in harmony (good relationship)","사이좋게"
"to melt, thaw, unfreeze; dissolve; warm (up)","녹다"
"to heat (up), warm (up) (almost always food/water)","데우다"
"to be very hot, warm (can refer to nouns as being hot/not common)","따끈따끈하다"
"to be warm, kind (more common/tangible)","따뜻하다"
"to be comfortably warm, not cold, nice and warm; (air) filled with a smell (not common)","훈훈하다"
"to be cozy, comfortable, warm, snug","포근하다"
"to be warm, kind (less common/sentimental feeling)","따스하다"
"to be kind, nice (personality)","착하다"
"How, (to say ""what do you"", you should actually say ""how do you"")","어떻게"
"(adv) how, what, for what reason, what method; at a certain angle","어찌"
"to be late","지각하다"
"to press down, push down; suppress, control, restrain; oppress","누르다"
"to hide (object), conceal, cover; disappear","감추다"
"to hide (people), disappear, be hidden; (formal) conceal oneself, be in hiding","숨다"
"to hide (someone/something), conceal, be hidden","숨기다"
"to surround, enclose","둘러싸다"
"to cover, wrap (up), shelter; take sides (with someone)","감싸다"
"to cover, hide, shield, conceal; distinguish, differentiate; be picky; be shy","가리다"
"to keep (objects), store; take charge of","보관하다"
"to tidy up, clean up, remove, clear away","치우다"
"to clean","청소하다"
"to be mixed, blended, shuffled; added","섞이다"
"to be dirty (messy), disordered, untidy; dirty (lewd)","지저분하다"
"to be unsanitary, filthy, unclean, untouchable, dirty","불결하다"
"to be closed, shut; shut up","닫히다"
"to cover, shut, close; hide, conceal, suppress","덮다"
"to open, unfold, spread; smooth; straighten, stretch","펴다"
"to open, unroll, outstretch, spread; present (colloquial/swiftly open)","펼치다"
"to spread, stretch out, unfold (passive)","펼쳐지다"
"to open, widen, stretch out (body parts mostly?)","벌리다"
"to spread, lay out (and leave open), keep open","펴놓다"
"to be open, be opened; be unlocked; be held, take place","열리다"
"anyone, anybody; any, no (not any)","아무"
"no one, nobody","아무도"
"anybody, anyone","아무나"
"quantity, amount, number (of); quantity of water","수량"
"quantity, amount (divided amount from a larger entity)","분량"
"quantity, amount, volume (countable/measureable); sheep, lamb; both; ms.","양"
"unit, measure","단위"
"to be incomplete, imperfect","불완전하다"
"safely, intact, nothing bad happened/without difficulty","무사히"
"to be safe, secure","안전하다"
"to be whole, intact, sound; perfect (as it originally was/without flaw)","온전하다"
"to clear up, become clear (weather); fold up (clothes); stop cease; mix something with water","개다"
"to be transparent, clear; certain","투명하다"
"to be innocent, pure, clean (appearance)","청순하다"
"to be naive, innocent, gullible (usually negative context)","순진하다"
"to be pure, genuine, innocent (mind/abstract)","순수하다"
"to be clean; innocent","깨끗하다"
"cleanly, neatly; completely","깨끗이"
"to be innocent, guiltless, not guilty","결백하다"
"to be neat, tidy, not dirty, sharp (broader usage)","깔끔하다"
"to be clear, clean, pure, fine","맑다"
"to be sincere, faithful,reliable, diligent(genuine in attitude or behavior)","성실하다"
"genuine person; rich stock, rich broth","진국"
"to be true, truthful, sincere, real","진실되다"
"sincerely, from one's heart","진심으로"
"earnestly, eagerly, sincerely","간절히"
"to be frank, honest (more common for opinions etc), straightforward, open, candid","솔직하다"
"to be honest (closer to the ethical use), straightforward","정직하다"
"honestly (without lie), frankly, truthfully","솔직히"
"realistic, practical; down to earth","현실적"
"reality; time of birth; being awake, day of one's life (not common)","생시"
"actuality, reality","현실"
"truth, reality, actuality, actual state (more common modifying the following noun)","실제"
"in fact, actually, in reality, really, in effect","실제로"
"fact, truth; actually, in fact, to be honest","사실"
"in fact, the truth is, actually","사실은"
"truth, true nature; entity, substance","실체"
"to be undeniable, clear; composed","엄연하다"
"exactly, precisely; surely, certainly, for sure, undoubtedly; at any cost; tight, fast;","꼭"
"(stronger) surely, certainly, at any cost, without fail","반드시"
"to be pointed, sharp; brilliant; picky","뾰족하다"
"to be clear, distinct, sharp, vivid (physically seeing or having to do with memories)","선명하다"
"clearly, distinctly; clear, definite; certain, clear, definitely, obviously, certainly (more common with thoughs and opinions)","분명히"
"to be obvious, evident, clear; nearly, just barely escape (doing), be near (doing)","뻔하다"
"evidently, obviously (same as 뻔하다 in this usage); intently, steadily (stare at someone)","빤히"
"concrete, definite, specific, detailed","구체적"
"closely, in detail","자세히"
"to be distinctive, clear, obvious, apparent, standing out","뚜렷하다"
"to prove, verify, demonstrate, confirm","증명하다"
"to guarantee, assure, vouch for, promise","보장하다"
"to confirm, verify, make sure; identity confirmation; check please","확인하다"
"to be certain, be reliable, for sure, definite, confident","확실하다"
"certainly, sure; confidently; definitely","확실히"
"to be certain, beyond a doubt, not wrong; trustworthy","틀림없다"
"to be reliable, dependable (having the appearance that someone is dependable), solid; imposing","듬직하다"
"to be valid, good, available","유효하다"
"to swear, pledge, vow","맹세하다"
"appointment; promise","약속"
"to be influential, leading (prevailing), powerful; prime, reliable, have a high possibility","유력하다"
"innacuracy, incorrectness","부정확"
"to be unfamiliar, strange, unknown","낯설다"
"to be strange, weird","이상하다"
"to be strange, odd, peculiar (less common)","야릇하다"
"strange thing, special event, unusual occurrence, particular thing","별일"
"to be familiar, used to something; skilled, experienced, practiced","익숙하다"
"to get used to, become experience, get familiar (with)","익숙해지다"
"to be familiar","친숙하다"
"self-respect, pride, self-esteem","자존심"
"reputation, fame (a name highly thought of/well-known in the world)","명성"
"dignity, majesty, stateliness (old fashioned)","위엄"
"honor (recognized by the world as having good value), distinction, fame, reputation","명예"
"honor, glory","영광"
"to be lightened, be on","켜져있다"
"order (sequential), sequence, procedure, process","순서"
"sequential, order","순차"
"order, sequence; turn (your turn); table of contents; (counter) time (# of times); memorial service for ancestors","차례"
"turn, go (not common)","순번"
"rotation, shift, alternation, take turns, relief","교대"
"alternating, in turns (not common)","번갈아"
"to turn, rotate, spin, turnover (objects)","회전하다"
"to twist, twine; sqirm, fidget; be sarcastic","꼬다"
"to twist, turn, distort; switch on; tie up (one's hair)","틀다"
"to spin, turn, rotate, revolve; go around","돌다"
"to be turned, spun; ran, function","돌리다"
"to go back, return; return to, be restored; work, operate; spin, rotate; be divided/distributed","돌아가다"
"to return, come back, return to, restore; receive, achieve","돌아오다"
"to turn around (and see), look back, look into; reflect on, think back (on)","돌아보다"
"to look back on, reflect; undo, turn back time; change one's mind; look back on","돌이키다"
"to give back, return (something), pay back","돌려주다"
"to restore, put back; return, give something back; make something change it's direction towards the opposite way","되돌리다"
"to return, give back, hand in (sino)","반납하다"
"to pay back, repay; return; avenge, revenge","갚다"
"to provide, pay (fixed/set amount), give something to somebody","지급하다"
"revenge; plural (more than one)","복수"
"to leave (with a destination), start (towards something), depart","출발하다"
"to leave (stronger/longer), depart, start off; pass away","떠나다"
"to part, separate, farewell (from someone if you won't see them for a long time)","이별하다"
"to walkout, exit, leave, departure; being sent to the bench","퇴장하다"
"to pass away, die (hon); return (to), go back (to); be restored, revert; make a detour","돌아가시다"
"to include, contain, cover; comprehend","포함하다"
"to be filled (with), full (of), packed (with); widespread; felt strongly","가득하다"
"to fill (in/up), pack; meet, make, fulfill, satisfy; lock, fasten, button","채우다"
"to the greatest possible extent, to the fullest; quite, heavily","잔뜩"
"(not a verb) to one's satisfaction, as much as one likes","실컷"
"as one pleases, as one likes, at will, at one's convenience (neutral connotation/pos or neg context)","마음대로"
"as one pleases, selfishly (sounds angry/rude, only neg situations)","멋대로"
"voluntary","자발적"
"full house (no space for more people); 10,000 won","만원"
"to refill","리필하다"
"to gather, pack, put things in order; take care of","챙기다"
"you (old fashioned/for males younger than you or comfortable with)","자네"
"you","너"
"you (plural), all of you, your, yourselfs","너희"
"you, your, yours, yourself; (poetic)","그대"
"you (formal lang.)","당신"
"to add (on to something), supplement (additional)","추가하다"
"to add (up), sum up; get worse, increase, intensify (closer to the math version/increasing)","더하다"
"to go up, ascend, climb up, get on; rise, be promoted, raised; increase, appreciate, advance","오르다"
"to raise, lift up; increase; drive up; offer; achieve, obtain","올리다"
"to go up, rise, ascend, increase; go northward; be submitted, be sent","올라가다"
"to come up, ascend","올라오다"
"impression; look(s), features, appearance; raise, increase","인상"
"impressive, memorable","인상적"
"one's first impression","첫인상"
"thoughts (on), impression, opinion, feelings (positive only)","소감"
"(positive) response","호응"
"good feeling, favorable impression","호감"
"to get wider, spread, become far/distant; happen, break out","벌어지다"
"widely, broadly, all over, extensively","널리"
"to exaggerate, overstate","과장하다"
"to enlarge, expand, magnify; exaggerate","확대하다"
"to spread (expanding), run","번지다"
"to be extinguished, be turned off, go out, be blown out; sink, fall in, fade, disappear; become hollow, become sunken","꺼지다"
"to make something high; increase, turn up, raise, enhance, elevate (can be abstract)","높이다"
"decoration, ornament; (verb) make something impressive","장식"
"to grow big, expand, increase; become serious","커지다"
"to develop (subject does the developing), improve, devise; exploit","개발하다"
"development, growth, progress, develop, advance(ment) (process of developing); electricity generation","발전"
"to develop, grow (situation gets better/to people)","발달하다"
"growth, devlopment","성장"
"to advance, proceed, move forward (toward something), progress","나아가다"
"to progress, proceed","진행하다"
"to fall back, retreat, step back; retire, resign, step down","물러나다"
"promotion (at a job), advancement","승진"
"to be promoted, move up (regarding levels/military, TOPIK levels, etc)","진급하다"
"something one is proud of, pride and joy","자랑거리"
"to be proud (of), boast (about), brag","자랑하다"
"to (something/someone) decreases, lessens, goes down, shrinks, shortens","줄다"
"to reduce, decrease, cut back","줄이다"
"to grow smaller, decrease, lessen (un-abrev.)","줄어들다"
"to decline, decrease, drop","감소하다"
"to drop (something); lose; lower, devalue, depress, reduce, mark down","떨어뜨리다"
"to fall out, come out, fall into, get into; be left out, be short (of); grow weak; be inferior, be below; addicted, indulge in","빠지다"
"to fall, descend; get off, come out, dismount; land; (2) lower; bring down, unload;","내리다"
"to come down, descend, get off, step down; move south; be delivered; approach; be passed down","내려오다"
"to go down, step down, descend; go southward; drop, be degraded; digested","내려가다"
"to drop, lower (ing your head), bow, bend; lessen","숙이다"
"to be solitary (alone in the world) (stronger and deeper meaning than just lonely/could also be solitary by choice)","고독하다"
"to be lonely, forlorn (can be used to describe how someone/something looks)","쓸쓸하다"
"isolated, remote, out of the way (separated from)","외딴"
"alone","혼자"
"by oneself, to oneself, in solitude, all by oneself","혼자서"
"(written) alone, by oneself, single-handedly","홀로"
"oneself, (for/by) oneself; of one's own accord (formal)","스스로"
"oneself; self-confidence; alone","자신"
"self, oneself, one, you; (slang) honey","자기"
"oneself, itself, being own","자체"
"by itself, automatically, naturally","저절로"
"automatic (state where an action is taken immediately without going through a process) (usually machines)","자동"
"to stand up, rise to one's feet; brace oneself, rise up against","일어서다"
"to help someone rise up, raise, set somebody upright; establish, set up, launch, revive; cause, stir up","일으키다"
"to make something stand, erect; to stop, park, set (up)","세우다"
"to wake (up), sober (up), doped (up), be enlightened; break, smash, shatter","깨다"
"to wake up (someone)","깨우다"
"to wake (up) (mentally wake up), come to one's senses, regain consciousness","깨어나다"
"(accident) to break, destroy, crash; frustrate, disturb, violate","깨뜨리다"
"to be broken, get broken; be hurt, injured (broken into many pieces)","깨지다"
"to break, be broken, fracture, snap off; be clear, perfect (items of length)","부러지다"
"to break, be broken, smashed, shattered, destroyed (variety of things)","부서지다"
"to be destroyed, ruined (money/business related), go to ruin, go bankrupt, perish, fail","망하다"
"to violate, break, go against, infringe","위반하다"
"to commit a sin, do sinful things; be guilty","죄짓다"
"illegality, unlawfulness, illegal action","불법"
"(someone else's) children, sons and daughters, descendant","자녀"
"one's children, offspring, descendent","자식"
"little kid (informal) (wouldn't like being called this)","꼬마"
"young children, kids","어린이"
"child (abreviated)","어린애"
"child (personal/abstract)","아이"
"girl (child) (talking about your child to others)","계집아이"
"young girl (teenage)","소녀"
"boy (teenager)","소년"
"boy (talking about your son to others) (lit. male that is young)","사내아이"
"toilet, bathroom, restroom","화장실"
"toilet, urinal (less common)","변기"
"bathroom","욕실"
"spot, place, location; feature, aspect, part","데"
"to remove, get rid of, eliminate, make something not exist; waste, spend (wastefully); kill, murder","없애다"
"to eliminate, remove (bad situation)","제거하다"
"to delete, erase, cancel (computer files/documents)","삭제하다"
"to take away, deprive, rob (somebody of something); fascinate, captivate, occupy, take up","빼앗다"
"to take (away), snatch, deprive; defile, violate (abbreviated)","뺏다"
"to take off, remove, detach (smth from smth); deduct","떼다"
"to steal, rob","도둑질하다"
